ClientId;CreditStatus
708909;Ativo
606921;Ativo
315003;Ativo
555363;Ativo
918497;Reprovado
201272;Ativo
804935;Ativo
664273;Ativo
514747;Reprovado
716589;Bloqueado
113544;Reprovado
144497;Reprovado
30102;Ativo
882560;Ativo
953180;Ativo
63106;Ativo
563075;Reprovado
457217;Reprovado
415124;Reprovado
340161;Ativo
740554;Ativo
678469;Reprovado
310676;Reprovado
464212;Ativo
879168;Bloqueado
100735;Ativo
610835;Ativo
68766;Reprovado
215568;Ativo
79790;Reprovado
518803;Reprovado
818293;Bloqueado
93711;Ativo
777472;Ativo
68738;Ativo
527099;Reprovado
660872;Reprovado
505279;Ativo
318727;Ativo
124253;Ativo
82630;Reprovado
782736;Reprovado
403077;Ativo
929880;Ativo
318978;Bloqueado
410461;Ativo
475633;Reprovado
293060;Ativo
399561;Reprovado
868113;Ativo
820334;Ativo
548406;Ativo
40624;Reprovado
106100;Reprovado
797325;Ativo
343556;Reprovado
309736;Reprovado
930124;Reprovado
701356;Bloqueado
767864;Reprovado
902285;Ativo
572972;Ativo
883683;Reprovado
312460;Ativo
646288;Ativo
264756;Reprovado
642256;Ativo
132068;Ativo
369407;Reprovado
671928;Reprovado
104214;Reprovado
47209;Ativo
9840;Ativo
323499;Reprovado
241111;Reprovado
54898;Ativo
255262;Reprovado
635717;Ativo
562363;Reprovado
466226;Bloqueado
620890;Reprovado
919753;Ativo
454565;Ativo
310445;Bloqueado
512246;Ativo
554339;Reprovado
569089;Reprovado
521138;Reprovado
284595;Ativo
739528;Ativo
238720;Ativo
220767;Ativo
986953;Reprovado
336849;Bloqueado
582585;Ativo
403959;Ativo
515882;Bloqueado
7908;Reprovado
467825;Reprovado
15584;Bloqueado
682360;Ativo
487736;Ativo
120793;Reprovado
161170;Reprovado
100011;Ativo
539010;Ativo
429229;Ativo
998606;Reprovado
439373;Reprovado
532367;Reprovado
768314;Ativo
992903;Reprovado
529154;Ativo
408210;Ativo
49114;Ativo
292410;Ativo
232168;Reprovado
68005;Reprovado
323040;Ativo
552731;Ativo
547792;Reprovado
243767;Reprovado
844779;Reprovado
47234;Ativo
432847;Ativo
625783;Ativo
444259;Reprovado
105842;Ativo
568475;Ativo
107361;Reprovado
186497;Reprovado
296691;Reprovado
38654;Reprovado
906379;Ativo
187348;Reprovado
957968;Reprovado
187360;Reprovado
506522;Ativo
856837;Reprovado
429678;Reprovado
224796;Reprovado
